"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2756.82609874695","2474.1015910881","1490.48850251234","1438.72012333328","1587.18468446239","1758.82692054521","1909.80539665364","2024.11993649264","2217.21056531473","2347.79958205187","2572.73793698691","2915.77919059888","3382.28439125269","3958.62000318371","4518.79971144599","5340.51717942653","6274.64506162179","7381.44096021784","8099.32935503981","7045.3993604342","7332.43556130171","7881.77173468477","9279.17540037906","9847.93225053577","10153.5556108742","10183.9279276811","11036.7222919191","12605.337955959","13478.7627947124","15729.1496950576","15523.4653938859","16899.0709181676","20445.098880893","23054.6005230691",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12881.7085613412","13541.8061572278","13788.7609849304","14595.7039857291","15609.028392026","14946.0970672988","15899.5289245678","16718.475362589","17375.8962205261","17965.9437389293","19191.8560253754","18446.3892863763","18685.2144746388","19984.2044549088","21466.914593072","23299.4261266905","26726.8119448093","29597.9013767743","29716.4698094393","25923.3471167144","23853.5795799163","23584.2714499711","22271.6951485973","21652.9033262642","21558.9997705071","20865.2339089624","21181.6274149752","21217.6292614592","24336.8548617152","26316.833216636","22159.4122861666","25493.1295548691","29711.5633165812","31802.3771965018",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17380.8816876752","17835.3580774279","18253.5816346613","19215.9605874947","20170.5253980883","21038.6667853022","22132.1929034356","23124.9639117233","24378.2453109245","25485.39144594","26541.6653208437","27645.8140289701","29032.4909555888","30121.8184177337","31763.7960926854","33036.5834770249","34846.7156302418","36653.8417179443","37532.9990434133","40312.3951186945","39374.6321044163","42025.4645815618","42866.6043295085","45936.049310436","46914.3867078836","46292.0954391179","47289.2859136343","48418.558421681","50251.3353381469","52746.7182896307","54064.0794661947","57406.1787604549","65365.948511045","69114.7378945066",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19459.1853817091","20602.8842323951","21278.1008434046","21717.3827088261","22626.6999440699","23681.2123261073","24552.0264768985","25422.0232889956","26674.8408048973","27606.4830303088","29379.7422969788","29711.5838626165","31178.6933297272","32146.0152926271","33774.7873879307","35013.7140443423","37661.922416092","39439.6039049819","41316.225176699","40916.9197419528","42002.1571364403","44452.7327457999","46457.3457770311","47922.0491207455","48799.7154676985","49865.9039424185","52684.0171130768","54172.9867888254","56937.944282984","60574.6271030491","58610.8343636691","63421.2035870778","70975.7206346934","73751.35270638",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5253.928344414","5322.30156155142","4150.12686044349","3217.94587480169","2603.83438642015","2317.79279883847","2366.83980939422","2522.84373040765","2779.80698744176","3001.30534251865","3382.08308668081","3771.2705793939","4160.21616652063","4640.13437290613","5160.47262532578","6741.20096471132","9244.40645520997","11734.7641864862","12972.4427129521","13972.7309052382","14680.8741446231","14804.5744507911","15994.1466501836","17267.5118919537","17563.6122454385","15075.2726347911","14535.8020210633","14315.929643106","15282.9995232298","16675.3179361558","15163.5703327282","20111.3756952109","22533.4940568508","23685.5386398553",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","609.427526352913","648.390630653918","652.572014339788","647.536280696256","632.48141876944","559.885119442068","524.725775091252","525.876618019156","546.757498058929","536.030255736748","532.491554963794","542.090316372566","559.149379496476","545.815526995497","566.158907618371","567.766133631385","595.264085591002","609.693491466702","625.400052212235","620.902782574562","630.448391739329","646.103127483227","656.84482613613","706.989782083521","745.402665408479","821.246254708968","795.785995768452","785.233394653441","777.446972175959","804.165344064637","812.055172967895","864.280732749477","917.506035017085","950.879813933229",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18675.3121947985","19587.8553500426","20258.5474461442","20459.1891478373","21504.01177389","22431.459360451","22736.7580685985","23727.8975208193","24368.7574088239","25440.8411888638","27788.0908832256","28796.5795804462","30282.2886450283","30934.5826454577","32063.9826949865","33177.8909458158","35258.985063203","36799.5318686343","37883.3319417819","37748.3994331926","39833.1840540415","40942.372710454","42290.7620520019","43671.11959259","44929.685593416","46200.904454307","48597.3999826201","50442.2705419624","52530.5620821347","56621.5417607532","55730.9528944011","62123.1613172906","68274.2006418035","70455.9584257956",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1220.32647439637","1275.25328392261","1302.35980812871","1349.61380902929","1354.71174583599","1436.862915437","1487.72483210882","1554.27817232496","1585.07457873236","1642.3812656713","1724.75930486217","1802.52452546987","1858.88991172543","1902.64231447387","1979.52812470256","2011.62851107456","2090.48976913831","2211.15499887771","2295.44360110535","2294.62514669685","2303.01728563462","2350.35645152303","2435.94851269195","2609.13575866286","2774.85895261323","2832.0041744077","2952.51368290359","2996.13599047432","3075.23586752195","3260.76853616447","3354.17997077466","3575.31148668734","3957.96121240461","4248.31081739622",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","568.682289195549","625.235824720621","625.380127562222","646.10617968061","651.938001196368","685.848491967217","755.772533349833","796.657154772457","841.042358061735","889.613971187536","899.695717382678","951.419934218013","977.7332907384","1041.97490074617","1083.37804991805","1176.49288433203","1248.99582984499","1295.67940946845","1356.71129222694","1364.90894215515","1454.78688503304","1536.80894422349","1577.21692499292","1648.38827756127","1666.7688641619","1696.95357862597","1887.55372049279","2048.43146169979","2077.95612146683","2233.26155474138","2375.86285194077","2467.74060013055","2620.5076544193","2726.94230998002",
